Timestamp,Name,Intake To,Breed,Color,Sex,Age,Dob (If Available),Weight,Intake From,Dog Friendly,Kid Friendly,Cat Friendly,Other Notes,Petfinder Link,Email Address,Status,Color Category,Primary Breed,Breed Group,Intake To Category,Days In Rescue,Intake Month,Age Group,Weight Group,Intake Source Type,Data Completeness %,LOS Bucket,Dog ID
2025-04-29 10:27:47,Loretta,Adopted,Hound Mix,Tricolor,Female,7.0,,,Return Adoption,Yes,Yes,Unsure,,,,Adopted,Tricolor,Hound,Hound,Adopted,,2025-04,Adult,Unknown,Other,66.66666666666666,Historical,DOG-0073
2025-05-12 11:56:28,Sola,Adopted,Hound Mix,Tan And White,Female,0.58,,15.0,Bell County,Yes,Yes,Yes,,,,Adopted,Tan,Hound,Hound,Adopted,,2025-05,Puppy,Small,County Shelter,83.33333333333334,Historical,DOG-0074
2025-05-12 12:00:47,Ellie,Adopted,Lab Mix,Black,Female,0.5,,25.0,Transfer From Rescue,Yes,Yes,Yes,,,,Adopted,Black,Other,Other,Adopted,,2025-05,Puppy,Medium,Rescue Transfer,83.33333333333334,Historical,DOG-0075
2025-06-03 11:57:39,May May,Adopted,Pit Mix,Brindle And White,Female,0.58,,24.4,Bell County,Yes,Yes,Unsure,,,,Adopted,Brindle,Pit Bull,Terrier,Adopted,,2025-06,Puppy,Small,County Shelter,83.33333333333334,Historical,DOG-0076
2025-04-23 16:31:38,Fig,Adopted,Schnoodle,Black And White,Female,1.0,,27.0,Bell County,Yes,Yes,Yes,,,https://www.petfinder.com/dog/fig-76386704/ky/junction-city/fields-of-freedom-dog-rescue-ky602/,Adopted,Black,Other,Other,Adopted,,2025-04,Young Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0077
2025-06-16 10:37:37,Ruger,Adopted,German Shepherd,Black And Tan,Male,8.0,,100.0,Knox County,Yes,Yes,Unsure,,,,Adopted,Black,Shepherd,Herding,Adopted,,2025-06,Senior,XL,County Shelter,83.33333333333334,Historical,DOG-0078
2024-12-12 10:59:47,Frankie,Adopted,Pit Mix,Tan And White,Male,2.0,,45.0,Bell County,Yes,Yes,Unsure,,,https://www.petfinder.com/dog/frank-saving-2-lives-by-rescuing-one-73692710/ky/lancaster/kentucky-saving-them-together-inc-ky535/,Adopted,Tan,Pit Bull,Terrier,Adopted,,2024-12,Young Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0079
2025-06-03 11:53:36,Sophie,Adopted,Schnauzer Mix,Black,Female,3.0,,23.0,Bell County,Yes,Yes,Yes,,,,Adopted,Black,Other,Other,Adopted,,2025-06,Adult,Small,County Shelter,83.33333333333334,Historical,DOG-0080
2025-06-03 12:02:35,Macho,Adopted,Boxer Mix,Black And White,Male,1.5,,45.0,Knox County,Yes,Yes,Unsure,,,,Adopted,Black,Boxer,Working,Adopted,,2025-06,Young Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0081
2025-06-03 12:04:10,Rita,Adopted,Pit Mix,Tan And White,Female,0.42,,15.0,Bell County,Yes,Yes,Unsure,,,https://www.petfinder.com/dog/margarita-76803346/ky/junction-city/fields-of-freedom-dog-rescue-ky602/,Adopted,Tan,Pit Bull,Terrier,Adopted,,2025-06,Puppy,Small,County Shelter,83.33333333333334,Historical,DOG-0082
2025-05-21 10:07:53,Toby,Adopted,Boxer Mix,Gray And White,Male,5.0,,65.0,Bell County,Yes,Yes,Unsure,,,https://www.petfinder.com/dog/toby-76803204/ky/junction-city/fields-of-freedom-dog-rescue-ky602/,Adopted,White,Boxer,Working,Adopted,,2025-05,Adult,Large,County Shelter,83.33333333333334,Historical,DOG-0083
2025-03-28 14:20:59,Gilbert,Adopted,Hound,Tricolor,Male,2.0,,,Bell County,Yes,Unknown,No,,,https://www.petfinder.com/dog/gilbert-76131457/ky/junction-city/fields-of-freedom-dog-rescue-ky602/,Adopted,Tricolor,Hound,Hound,Adopted,,2025-03,Young Adult,Unknown,County Shelter,66.66666666666666,Historical,DOG-0084
2024-12-12 11:31:23,Koda,Adopted,Mountain Curr Mix,Brindle,Male,2.0,,77.0,Bell County,Yes,Unknown,Unsure,,,https://www.petfinder.com/dog/koda-saving-2-lives-by-rescuing-one-74331847/ky/lancaster/kentucky-saving-them-together-inc-ky535/,Adopted,Brindle,Other,Other,Adopted,,2024-12,Young Adult,XL,County Shelter,83.33333333333334,Historical,DOG-0085
